Time,X,Y,Z
2024-02-21_143334,0.0004631300,0.0003057488,0.0007149159
2024-02-21_143334,0.0002372967,0.0001182167,0.0006922464
2024-02-21_143334,0.0000811579,0.0002204758,0.0003870139
2024-02-21_143334,0.0002111673,0.0001657376,0.0003017798
2024-02-21_143334,0.0004717467,0.0001776815,0.0002669763
2024-02-21_143334,0.0001042108,0.0003485844,0.0001068191
2024-02-21_143334,0.0001605015,0.0001235008,0.0006788184
2024-02-21_143334,0.0001116756,0.0003789548,0.0004773735
2024-02-21_143334,0.0001395960,0.0003113731,0.0002360856
2024-02-21_143334,0.0000960427,0.0003312455,0.0005938111
2024-02-21_143334,0.0003773195,0.0003641163,0.0009187568
2024-02-21_143334,0.0002766373,0.0004284639,0.0003368005
2024-02-21_143334,0.0002443697,0.0001447459,0.0002552840
2024-02-21_143334,0.0000665071,0.0003809336,0.0004802605
2024-02-21_143334,0.0003929776,0.0002590649,0.0005692309
2024-02-21_143334,0.0001342648,0.0002034845,0.0006691258
2024-02-21_143334,0.0005430916,0.0003796130,0.0001871865
2024-02-21_143334,0.0004714837,0.0001164889,0.0007033457
2024-02-21_143334,0.0003792703,0.0004106035,0.0007043252
2024-02-21_143334,0.0001802611,0.0001195091,0.0003636250
2024-02-21_143334,0.0002576968,0.0002431275,0.0002664729
2024-02-21_143334,0.0007176346,0.0002620963,0.0001903230
2024-02-21_143334,0.0002612242,0.0001648174,0.0002451648
2024-02-21_143334,0.0002502383,0.0000275679,0.0006396139
2024-02-21_143334,0.0001934052,0.0001091467,0.0002138789
2024-02-21_143334,0.0005518614,0.0002468920,0.0004358513
2024-02-21_143334,0.0004340444,0.0003534566,0.0004817921
2024-02-21_143334,0.0003111675,0.0000808623,0.0004889252
2024-02-21_143334,0.0002783387,0.0005143802,0.0003761607
2024-02-21_143334,0.0000203155,0.0002115378,0.0003474428
2024-02-21_143334,0.0001945764,0.0003960606,0.0008395558
2024-02-21_143334,0.0001454889,0.0001732327,0.0001881509
2024-02-21_143334,0.0001574777,0.0004196882,0.0001535412
2024-02-21_143334,0.0002628980,0.0002557768,0.0002191019
2024-02-21_143334,0.0002866382,0.0002188328,0.0002620060
2024-02-21_143334,0.0002443065,0.0003193725,0.0006802357
