record,created_at
77.5*2*84.0,2025-02-25 06:00:54
77.8*2*83.4,2025-02-25 10:07:47
76.5*2*55.7,2025-02-25 12:01:01
77.0*2*39.9,2025-02-25 13:21:59
77.2*2*39.9,2025-02-25 18:00:57
72.1*2*33.8,2025-02-25 19:32:14
72.1*2*50.2,2025-02-26 00:00:38
74.2*2*64.1,2025-02-26 06:00:36
75.1*2*54.7,2025-02-26 07:33:06
74.9*2*53.0,2025-02-26 12:00:58
73.8*2*38.9,2025-02-26 18:00:54
67.2*2*38.6,2025-02-26 19:32:14
2*2*42.9,2025-02-27 00:00:36
69.1*2*64.9,2025-02-27 06:00:36
71.3*2*50.4,2025-02-27 07:32:34
72.6*2*58.5,2025-02-27 12:00:53
70.7*2*39.0,2025-02-27 18:01:01
66.9*2*58.3,2025-02-27 19:32:16
66.3*2*65.6,2025-02-28 00:00:36
68.2*2*77.9,2025-02-28 06:00:36
69.7*2*86.2,2025-02-28 07:32:35
69.7*2*87.3,2025-02-28 12:00:56
68.9*2*51.8,2025-02-28 18:00:54
65.9*2*52.0,2025-02-28 18:33:59
2*2*51.7,2025-02-28 19:32:15
66.1*2*55.7,2025-03-01 00:00:36
69.0*2*78.2,2025-03-01 06:00:37
69.7*2*91.0,2025-03-01 07:32:32
69.3*2*88.4,2025-03-01 12:00:56
69.2*2*60.7,2025-03-01 18:00:57
66.8*2*54.5,2025-03-01 19:32:29
66.1*2*69.9,2025-03-02 00:00:36
70.0*2*82.5,2025-03-02 06:00:36
69.7*2*56.4,2025-03-02 13:35:58
69.4*2*55.8,2025-03-02 18:00:55
67.8*2*63.9,2025-03-02 19:32:15
69.3*2*60.4,2025-03-03 00:00:36
71.1*2*76.0,2025-03-03 06:00:35
71.5*2*79.2,2025-03-03 07:32:32
71.2*2*79.2,2025-03-03 12:01:04
73.6*2*70.3,2025-03-04 17:37:25
73.6*2*70.9,2025-03-04 18:00:56
73.5*2*71.2,2025-03-04 19:32:14
73.8*2*78.7,2025-03-05 00:00:37
75.3*2*79.7,2025-03-05 06:00:36
75.1*2*89.4,2025-03-05 07:32:32
75.2*2*91.5,2025-03-05 12:01:02
2*2*2,2025-03-05 15:17:13
75.8*2*60.3,2025-03-05 17:22:20
75.7*2*60.3,2025-03-05 18:00:55
75.6*2*60.1,2025-03-05 19:32:14
76.1*2*76.6,2025-03-05 20:23:22
75.9*2*76.9,2025-03-06 00:00:37
77.2*2*83.8,2025-03-06 06:00:36
77.2*2*92.5,2025-03-06 07:32:36
77.0*2*92.8,2025-03-06 12:00:54
77.3*2*64.1,2025-03-06 18:00:53
75.4*2*56.4,2025-03-06 19:32:15
75.9*2*68.3,2025-03-07 00:00:36
77.3*2*79.8,2025-03-07 06:00:36
78.0*2*84.5,2025-03-07 07:32:32
77.9*2*84.4,2025-03-07 12:01:00
77.4*2*55.0,2025-03-07 18:00:55
75.1*2*64.0,2025-03-07 19:32:16
75.1*2*71.6,2025-03-08 00:00:35
76.8*2*83.5,2025-03-08 06:00:38
77.5*2*85.1,2025-03-08 12:01:02
76.8*2*58.4,2025-03-08 18:01:01
77.0*2*73.9,2025-03-08 19:32:14
77.3*2*76.8,2025-03-09 00:00:35
78.1*2*78.0,2025-03-09 06:00:36
78.5*2*86.0,2025-03-09 07:32:48
78.0*2*87.2,2025-03-09 12:00:56
76.4*2*75.7,2025-03-09 18:00:53
77.0*2*77.2,2025-03-09 19:32:15
77.4*2*83.9,2025-03-10 00:00:36
78.5*2*85.1,2025-03-10 06:00:36
78.9*2*89.2,2025-03-10 07:32:31
78.6*2*91.9,2025-03-10 12:00:56
79.2*2*87.2,2025-03-10 18:00:57
79.0*2*88.5,2025-03-10 19:32:24
79.3*2*89.5,2025-03-11 00:00:37
79.9*2*86.2,2025-03-11 06:00:36
80.4*2*91.1,2025-03-11 07:32:35
80.2*2*91.9,2025-03-11 12:01:00
81.1*2*55.6,2025-03-11 18:00:54
79.8*2*50.4,2025-03-11 19:32:15
79.9*2*57.5,2025-03-12 00:00:36
80.0*2*76.1,2025-03-12 06:00:36
80.6*2*93.1,2025-03-12 12:01:05
79.5*2*75.6,2025-03-12 18:00:54
78.9*2*80.2,2025-03-12 19:32:33
79.1*2*91.4,2025-03-13 00:00:36
80.1*2*90.7,2025-03-13 06:00:36
80.5*2*70.8,2025-03-13 10:21:28
80.5*2*64.2,2025-03-13 11:31:20
80.4*2*64.9,2025-03-13 12:00:36
