record,created_at
31.8*2*20.6,3/1/2025 7:32
31.7*2*22.2,3/1/2025 12:00
33.6*2*31.4,3/1/2025 18:00
34.7*2*30.2,3/1/2025 19:32
33.6*2*27.4,3/2/2025 0:00
32.7*2*24.8,3/2/2025 6:00
34.3*2*30.4,3/2/2025 13:35
34.3*2*30.9,3/2/2025 18:00
33.9*2*27.1,3/2/2025 19:32
33.3*2*26.0,3/3/2025 0:00
32.9*2*25.2,3/3/2025 6:00
32.4*2*23.5,3/3/2025 7:32
32.1*2*23.0,3/3/2025 12:01
33.3*2*26.9,3/4/2025 17:37
33.3*2*26.8,3/4/2025 18:00
33.3*2*26.6,3/4/2025 19:32
32.8*2*25.1,3/5/2025 0:00
31.9*2*23.6,3/5/2025 6:00
30.2*2*21.5,3/5/2025 7:32
30.0*2*20.9,3/5/2025 12:01
2*2*2,3/5/2025 15:17
35.1*2*30.8,3/5/2025 17:22
35.1*2*30.8,3/5/2025 18:00
35.2*2*29.6,3/5/2025 19:32
34.0*2*26.5,3/5/2025 20:23
34.1*2*26.4,3/6/2025 0:00
33.2*2*25.1,3/6/2025 6:00
31.6*2*22.5,3/6/2025 7:32
31.0*2*23.1,3/6/2025 12:00
34.3*2*31.5,3/6/2025 18:00
34.8*2*30.0,3/6/2025 19:32
34.1*2*27.6,3/7/2025 0:00
33.0*2*25.0,3/7/2025 6:00
31.9*2*23.6,3/7/2025 7:32
31.8*2*24.0,3/7/2025 12:01
33.5*2*31.4,3/7/2025 18:00
34.4*2*29.4,3/7/2025 19:32
33.6*2*27.5,3/8/2025 0:00
33.0*2*24.5,3/8/2025 6:00
31.6*2*22.6,3/8/2025 12:01
32.8*2*29.5,3/8/2025 18:01
32.9*2*25.3,3/8/2025 19:32
32.4*2*24.6,3/9/2025 0:00
32.1*2*23.6,3/9/2025 6:00
31.3*2*22.4,3/9/2025 7:32
30.7*2*22.5,3/9/2025 12:00
31.8*2*26.2,3/9/2025 18:00
33.5*2*26.2,3/9/2025 19:32
33.0*2*24.4,3/10/2025 0:00
32.2*2*23.8,3/10/2025 6:00
31.3*2*22.7,3/10/2025 7:32
30.9*2*22.4,3/10/2025 12:00
32.7*2*23.4,3/10/2025 18:00
32.0*2*20.6,3/10/2025 19:32
31.0*2*20.8,3/11/2025 0:00
29.1*2*20.3,3/11/2025 6:00
28.1*2*19.8,3/11/2025 7:32
27.4*2*19.4,3/11/2025 12:01
32.2*2*29.6,3/11/2025 18:00
34.0*2*29.9,3/11/2025 19:32
33.4*2*27.1,3/12/2025 0:00
32.8*2*24.6,3/12/2025 6:00
29.3*2*21.1,3/12/2025 12:01
30.4*2*27.1,3/12/2025 18:00
33.2*2*22.7,3/12/2025 19:32
31.2*2*20.5,3/13/2025 0:00
28.5*2*20.5,3/13/2025 6:00
28.4*2*26.6,3/13/2025 10:21
29.7*2*28.3,3/13/2025 11:31
29.8*2*28.1,3/13/2025 12:00
34.0*2*29.7,3/13/2025 16:33
34.1*2*29.5,3/13/2025 18:00
33.7*2*27.0,3/13/2025 19:32
32.6*2*25.0,3/14/2025 0:00
31.3*2*23.5,3/14/2025 6:00
29.1*2*21.8,3/14/2025 7:32
28.7*2*22.1,3/14/2025 12:00
31.6*2*30.1,3/14/2025 18:00
34.2*2*29.4,3/14/2025 19:32
33.5*2*27.1,3/15/2025 0:00
32.1*2*24.8,3/15/2025 6:00
30.8*2*23.5,3/15/2025 7:32
29.9*2*23.4,3/15/2025 12:00
30.9*2*28.0,3/15/2025 18:00
33.7*2*26.6,3/15/2025 19:32
32.6*2*25.5,3/16/2025 0:00
31.4*2*23.5,3/16/2025 6:00
27.8*2*17.8,3/16/2025 7:32
26.5*2*18.6,3/16/2025 12:00
25.6*2*19.6,3/16/2025 18:01
30.7*2*24.4,3/16/2025 19:32
30.6*2*22.4,3/17/2025 0:00
28.4*2*21.2,3/17/2025 6:00
27.2*2*20.8,3/17/2025 12:01
32.1*2*28.0,3/17/2025 18:01
32.6*2*25.4,3/17/2025 19:32
31.8*2*24.1,3/18/2025 0:00
30.0*2*22.5,3/18/2025 6:00
27.7*2*20.9,3/18/2025 7:32
31.9*2*23.4,3/18/2025 19:46
31.9*2*23.5,3/19/2025 0:00
30.3*2*22.1,3/19/2025 6:01
27.4*2*20.6,3/19/2025 7:33
29.5*2*26.5,3/19/2025 12:07
29.7*2*26.6,3/19/2025 18:00
31.9*2*24.7,3/19/2025 19:32
31.0*2*20.6,3/19/2025 21:28
30.9*2*20.4,3/20/2025 0:00
28.3*2*18.5,3/20/2025 6:00
26.0*2*19.3,3/20/2025 7:33
30.5*2*27.3,3/20/2025 13:53
30.5*2*27.3,3/20/2025 18:00
33.4*2*26.1,3/20/2025 19:32
32.4*2*23.9,3/21/2025 0:00
30.0*2*21.4,3/21/2025 6:00
27.4*2*20.4,3/21/2025 7:33
27.8*2*20.6,3/21/2025 12:00
30.4*2*28.2,3/21/2025 18:00
2*2*26.8,3/21/2025 19:32
32.8*2*24.7,3/22/2025 0:00
30.9*2*22.3,3/22/2025 6:00
28.2*2*20.8,3/22/2025 7:32
28.6*2*21.0,3/22/2025 12:01
29.7*2*27.0,3/22/2025 18:00
32.3*2*26.0,3/22/2025 18:28
32.3*2*25.9,3/22/2025 19:32
32.1*2*24.9,3/23/2025 0:00
30.9*2*23.1,3/23/2025 6:00
29.2*2*21.1,3/23/2025 7:32
28.3*2*19.8,3/23/2025 12:00
29.4*2*28.2,3/23/2025 18:00
29.4*2*23.9,3/23/2025 19:32
29.8*2*23.4,3/24/2025 0:00
32.2*2*28.1,3/25/2025 16:52
32.3*2*28.1,3/25/2025 16:56
32.4*2*28.0,3/25/2025 18:00
31.9*2*24.7,3/25/2025 19:20
31.8*2*24.7,3/25/2025 19:32
31.9*2*24.3,3/25/2025 19:51
31.8*2*23.9,3/25/2025 20:40
